PlayerH VS PlayerG
  Battle 1: PlayerG (7S) defeated PlayerH (3H): PlayerH 25, PlayerG 27
  Battle 2: PlayerG (QS) defeated PlayerH (4C): PlayerH 24, PlayerG 28
  Battle 3: PlayerG (JH) defeated PlayerH (10H): PlayerH 23, PlayerG 29
  Battle 4: PlayerG (JS) defeated PlayerH (9C): PlayerH 22, PlayerG 30
  Battle 5: PlayerH (KS) defeated PlayerG (6S): PlayerH 23, PlayerG 29
  War 1: PlayerG (5H) defeated PlayerH (3D): PlayerH 18, PlayerG 34
  Battle 6: PlayerH (JC) defeated PlayerG (5C): PlayerH 19, PlayerG 33
  Battle 7: PlayerH (10D) defeated PlayerG (2C): PlayerH 20, PlayerG 32
  Battle 8: PlayerH (10S) defeated PlayerG (8C): PlayerH 21, PlayerG 31
  Battle 9: PlayerH (10C) defeated PlayerG (4D): PlayerH 22, PlayerG 30
  Battle 10: PlayerG (9H) defeated PlayerH (6H): PlayerH 21, PlayerG 31
  Battle 11: PlayerH (6D) defeated PlayerG (4H): PlayerH 22, PlayerG 30
  Battle 12: PlayerH (9S) defeated PlayerG (5D): PlayerH 23, PlayerG 29
  Battle 13: PlayerG (3C) defeated PlayerH (2D): PlayerH 22, PlayerG 30
  Battle 14: PlayerG (QC) defeated PlayerH (7C): PlayerH 21, PlayerG 31
  Battle 15: PlayerG (8H) defeated PlayerH (2H): PlayerH 20, PlayerG 32
  Battle 16: PlayerG (QD) defeated PlayerH (5S): PlayerH 19, PlayerG 33
  Battle 17: PlayerG (9D) defeated PlayerH (7D): PlayerH 18, PlayerG 34
  Battle 18: PlayerG (JD) defeated PlayerH (KD): PlayerH 17, PlayerG 35
  Battle 19: PlayerG (8D) defeated PlayerH (7H): PlayerH 16, PlayerG 36
  Battle 20: PlayerG (KH) defeated PlayerH (8S): PlayerH 15, PlayerG 37
  Battle 21: PlayerH (3S) defeated PlayerG (2S): PlayerH 16, PlayerG 36
  Battle 22: PlayerH (6S) defeated PlayerG (3H): PlayerH 17, PlayerG 35
  Battle 23: PlayerH (KS) defeated PlayerG (7S): PlayerH 18, PlayerG 34
  Battle 24: PlayerH (5C) defeated PlayerG (4C): PlayerH 19, PlayerG 33
  Battle 25: PlayerH (JC) defeated PlayerG (QS): PlayerH 20, PlayerG 32
  Battle 26: PlayerG (JH) defeated PlayerH (2C): PlayerH 19, PlayerG 33
  War 2: PlayerH (4D) defeated PlayerG (3D): PlayerH 24, PlayerG 28
  Battle 27: PlayerG (5H) defeated PlayerH (4H): PlayerH 23, PlayerG 29
  War 3: PlayerG (QH) defeated PlayerH (2S): PlayerH 18, PlayerG 34
  Battle 28: PlayerG (AH) defeated PlayerH (3H): PlayerH 17, PlayerG 35
  Battle 29: PlayerG (AD) defeated PlayerH (6S): PlayerH 16, PlayerG 36
  Battle 30: PlayerH (7S) defeated PlayerG (6H): PlayerH 17, PlayerG 35
  Battle 31: PlayerH (KS) defeated PlayerG (9H): PlayerH 18, PlayerG 34
  Battle 32: PlayerH (4C) defeated PlayerG (3C): PlayerH 19, PlayerG 33
  Battle 33: PlayerH (5C) defeated PlayerG (2D): PlayerH 20, PlayerG 32
  Battle 34: PlayerH (JC) defeated PlayerG (QC): PlayerH 21, PlayerG 31
  Battle 35: PlayerH (QS) defeated PlayerG (7C): PlayerH 22, PlayerG 30
  Battle 36: PlayerH (10D) defeated PlayerG (8H): PlayerH 23, PlayerG 29
  Battle 37: PlayerH (JS) defeated PlayerG (2H): PlayerH 24, PlayerG 28
  Battle 38: PlayerG (QD) defeated PlayerH (10C): PlayerH 23, PlayerG 29
  Battle 39: PlayerH (9C) defeated PlayerG (5S): PlayerH 24, PlayerG 28
  Battle 40: PlayerH (8C) defeated PlayerG (7D): PlayerH 25, PlayerG 27
  Battle 41: PlayerG (9D) defeated PlayerH (4D): PlayerH 24, PlayerG 28
  Battle 42: PlayerG (KD) defeated PlayerH (3D): PlayerH 23, PlayerG 29
  Battle 43: PlayerG (JD) defeated PlayerH (10S): PlayerH 22, PlayerG 30
  Battle 44: PlayerH (10H) defeated PlayerG (7H): PlayerH 23, PlayerG 29
  Battle 45: PlayerG (8D) defeated PlayerH (4S): PlayerH 22, PlayerG 30
  Battle 46: PlayerG (8S) defeated PlayerH (6H): PlayerH 21, PlayerG 31
  Battle 47: PlayerG (KH) defeated PlayerH (7S): PlayerH 20, PlayerG 32
  Battle 48: PlayerH (9H) defeated PlayerG (2C): PlayerH 21, PlayerG 31
  Battle 49: PlayerG (JH) defeated PlayerH (KS): PlayerH 20, PlayerG 32
  Battle 50: PlayerG (4H) defeated PlayerH (3C): PlayerH 19, PlayerG 33
  Battle 51: PlayerG (5H) defeated PlayerH (4C): PlayerH 18, PlayerG 34
  Battle 52: PlayerG (KC) defeated PlayerH (5C): PlayerH 17, PlayerG 35
  Battle 53: PlayerG (QH) defeated PlayerH (2D): PlayerH 16, PlayerG 36
  Battle 54: PlayerH (JC) defeated PlayerG (5D): PlayerH 17, PlayerG 35
  Battle 55: PlayerH (QC) defeated PlayerG (6C): PlayerH 18, PlayerG 34
  Battle 56: PlayerH (QS) defeated PlayerG (2S): PlayerH 19, PlayerG 33
  Battle 57: PlayerH (7C) defeated PlayerG (6D): PlayerH 20, PlayerG 32
  Battle 58: PlayerG (AC) defeated PlayerH (8H): PlayerH 19, PlayerG 33
  Battle 59: PlayerH (10D) defeated PlayerG (9S): PlayerH 20, PlayerG 32
  Battle 60: PlayerG (AS) defeated PlayerH (2H): PlayerH 19, PlayerG 33
  Battle 61: PlayerH (JS) defeated PlayerG (3S): PlayerH 20, PlayerG 32
  Battle 62: PlayerG (AH) defeated PlayerH (9C): PlayerH 19, PlayerG 33
  Battle 63: PlayerH (5S) defeated PlayerG (3H): PlayerH 20, PlayerG 32
  Battle 64: PlayerH (7D) defeated PlayerG (6S): PlayerH 21, PlayerG 31
  Battle 65: PlayerG (AD) defeated PlayerH (8C): PlayerH 20, PlayerG 32
  Battle 66: PlayerG (QD) defeated PlayerH (10H): PlayerH 19, PlayerG 33
  Battle 67: PlayerG (10C) defeated PlayerH (7H): PlayerH 18, PlayerG 34
  Battle 68: PlayerH (9H) defeated PlayerG (4D): PlayerH 19, PlayerG 33
  Battle 69: PlayerG (9D) defeated PlayerH (2C): PlayerH 18, PlayerG 34
  Battle 70: PlayerH (5D) defeated PlayerG (3D): PlayerH 19, PlayerG 33
  Battle 71: PlayerH (JC) defeated PlayerG (KD): PlayerH 20, PlayerG 32
  Battle 72: PlayerG (JD) defeated PlayerH (6C): PlayerH 19, PlayerG 33
  Battle 73: PlayerH (QC) defeated PlayerG (10S): PlayerH 20, PlayerG 32
  Battle 74: PlayerH (QS) defeated PlayerG (4S): PlayerH 21, PlayerG 31
  Battle 75: PlayerG (8D) defeated PlayerH (2S): PlayerH 20, PlayerG 32
  Battle 76: PlayerG (8S) defeated PlayerH (6D): PlayerH 19, PlayerG 33
  Battle 77: PlayerH (7C) defeated PlayerG (6H): PlayerH 20, PlayerG 32
  Battle 78: PlayerG (KH) defeated PlayerH (9S): PlayerH 19, PlayerG 33
  Battle 79: PlayerH (10D) defeated PlayerG (7S): PlayerH 20, PlayerG 32
  Battle 80: PlayerH (JS) defeated PlayerG (KS): PlayerH 21, PlayerG 31
  Battle 81: PlayerG (JH) defeated PlayerH (3S): PlayerH 20, PlayerG 32
  War 4: PlayerH (9H) defeated PlayerG (5C): PlayerH 25, PlayerG 27
  Battle 82: PlayerG (KC) defeated PlayerH (4D): PlayerH 24, PlayerG 28
  Battle 83: PlayerH (3D) defeated PlayerG (2D): PlayerH 25, PlayerG 27
  Battle 84: PlayerG (QH) defeated PlayerH (5D): PlayerH 24, PlayerG 28
  Battle 85: PlayerH (KD) defeated PlayerG (8H): PlayerH 25, PlayerG 27
  Battle 86: PlayerG (AC) defeated PlayerH (JC): PlayerH 24, PlayerG 28
  Battle 87: PlayerH (QC) defeated PlayerG (2H): PlayerH 25, PlayerG 27
  Battle 88: PlayerG (AS) defeated PlayerH (10S): PlayerH 24, PlayerG 28
  Battle 89: PlayerG (AH) defeated PlayerH (4S): PlayerH 23, PlayerG 29
  Battle 90: PlayerH (QS) defeated PlayerG (9C): PlayerH 24, PlayerG 28
  Battle 91: PlayerG (8C) defeated PlayerH (6H): PlayerH 23, PlayerG 29
  Battle 92: PlayerG (AD) defeated PlayerH (7C): PlayerH 22, PlayerG 30
  Battle 93: PlayerG (10H) defeated PlayerH (7S): PlayerH 21, PlayerG 31
  Battle 94: PlayerG (QD) defeated PlayerH (10D): PlayerH 20, PlayerG 32
  Battle 95: PlayerH (KS) defeated PlayerG (7H): PlayerH 21, PlayerG 31
  Battle 96: PlayerH (JS) defeated PlayerG (10C): PlayerH 22, PlayerG 30
  Battle 97: PlayerH (5H) defeated PlayerG (2C): PlayerH 23, PlayerG 29
  Battle 98: PlayerG (9D) defeated PlayerH (4H): PlayerH 22, PlayerG 30
  Battle 99: PlayerG (JD) defeated PlayerH (7D): PlayerH 21, PlayerG 31
  Battle 100: PlayerG (6C) defeated PlayerH (3C): PlayerH 20, PlayerG 32
  Battle 101: PlayerH (4C) defeated PlayerG (2S): PlayerH 21, PlayerG 31
  Battle 102: PlayerG (8D) defeated PlayerH (5S): PlayerH 20, PlayerG 32
  Battle 103: PlayerG (8S) defeated PlayerH (3H): PlayerH 19, PlayerG 33
  War 7: PlayerG (10S) defeated PlayerH (7H): PlayerH 6, PlayerG 46
  Battle 104: PlayerG (AH) defeated PlayerH (10C): PlayerH 5, PlayerG 47
  Battle 105: PlayerH (JS) defeated PlayerG (4S): PlayerH 6, PlayerG 46
  Battle 106: PlayerG (6H) defeated PlayerH (5H): PlayerH 5, PlayerG 47
  Battle 107: PlayerG (8C) defeated PlayerH (2C): PlayerH 4, PlayerG 48
  Battle 108: PlayerG (AD) defeated PlayerH (4C): PlayerH 3, PlayerG 49
  Battle 109: PlayerG (7C) defeated PlayerH (2S): PlayerH 2, PlayerG 50
  Battle 110: PlayerG (10H) defeated PlayerH (4S): PlayerH 1, PlayerG 51
  Battle 111: PlayerH (JS) defeated PlayerG (7S): PlayerH 2, PlayerG 50
  Battle 112: PlayerH (JS) defeated PlayerG (QD): PlayerH 3, PlayerG 49
  Battle 113: PlayerG (10D) defeated PlayerH (7S): PlayerH 2, PlayerG 50
  Battle 114: PlayerH (JS) defeated PlayerG (4H): PlayerH 3, PlayerG 49
  Battle 115: PlayerH (QD) defeated PlayerG (9D): PlayerH 4, PlayerG 48
  Battle 116: PlayerH (JS) defeated PlayerG (7D): PlayerH 5, PlayerG 47
  Battle 117: PlayerG (JD) defeated PlayerH (4H): PlayerH 4, PlayerG 48
  Battle 118: PlayerH (QD) defeated PlayerG (3C): PlayerH 5, PlayerG 47
  Battle 119: PlayerH (9D) defeated PlayerG (6C): PlayerH 6, PlayerG 46
  Battle 120: PlayerH (7D) defeated PlayerG (5S): PlayerH 7, PlayerG 45
  Battle 121: PlayerH (JS) defeated PlayerG (8D): PlayerH 8, PlayerG 44
  War 8: PlayerG (KH) defeated PlayerH (5S): PlayerH 3, PlayerG 49
  Battle 122: PlayerG (QC) defeated PlayerH (7D): PlayerH 2, PlayerG 50
  Battle 123: PlayerG (KC) defeated PlayerH (8D): PlayerH 1, PlayerG 51
  War 8: PlayerG (JH) defeated PlayerH (JS): PlayerH 0, PlayerG 52

PlayerG (1) DEFEATED PlayerH in 123 battles and 8 wars 

PlayerF VS PlayerE
  Battle 1: PlayerE (AH) defeated PlayerF (QS): PlayerF 25, PlayerE 27
  Battle 2: PlayerE (AD) defeated PlayerF (KH): PlayerF 24, PlayerE 28
  Battle 3: PlayerF (5C) defeated PlayerE (2H): PlayerF 25, PlayerE 27
  War 1: PlayerF (8S) defeated PlayerE (2D): PlayerF 30, PlayerE 22
  Battle 4: PlayerF (5S) defeated PlayerE (3C): PlayerF 31, PlayerE 21
  Battle 5: PlayerE (5D) defeated PlayerF (2C): PlayerF 30, PlayerE 22
  Battle 6: PlayerF (JS) defeated PlayerE (3H): PlayerF 31, PlayerE 21
  Battle 7: PlayerF (QC) defeated PlayerE (KS): PlayerF 32, PlayerE 20
  Battle 8: PlayerE (KC) defeated PlayerF (8D): PlayerF 31, PlayerE 21
  Battle 9: PlayerE (9S) defeated PlayerF (6D): PlayerF 30, PlayerE 22
  Battle 10: PlayerE (10H) defeated PlayerF (4S): PlayerF 29, PlayerE 23
  Battle 11: PlayerE (10C) defeated PlayerF (7S): PlayerF 28, PlayerE 24
  Battle 12: PlayerE (5H) defeated PlayerF (4D): PlayerF 27, PlayerE 25
  Battle 13: PlayerF (JH) defeated PlayerE (9C): PlayerF 28, PlayerE 24
  Battle 14: PlayerF (4H) defeated PlayerE (2S): PlayerF 29, PlayerE 23
  Battle 15: PlayerE (8H) defeated PlayerF (4C): PlayerF 28, PlayerE 24
